,name,distance,mass,radius
0,SDSS J000013.54+255418.6 [de],46.1,0.010454631827309999,0.10173536999999999
2,2MASS J00040288-6410358,192.0,0.01151065524421,0.16750368999999998
4,2MASS J00242463-0158201,37.7,0.010349029485619998,0.11201167000000001
6,2MASS J00274197+0503417,236.0,0.009926620118859997,0.14797871999999998
8,2MASSW J0030300-145033,87.2,0.01710757935378,0.10070773999999999
9,2MASS J00332386-1521309 [de],131.0,0.013728304419699997,0.14695108999999998
10,2MASS J00345157+0523050,31.0,0.009926620118859997,0.09659721999999998
11,2MASS 0036+1821,28.6,0.015101134861669996,0.09659721999999998
12,2MASSW J0045214+163445,57.0,0.010349029485619998,0.16647606
13,WISEP J004701.06+680352.1 [fr],40.0,0.010349029485619998,0.13359189999999999
14,2MASS J00501994-3322402 [de],34.0,0.01710757935378,0.09659721999999998
16,2MASS J00584253-0651239 [de],96.0,0.010243427143929998,0.14695108999999998
18,2MASSI J0103320+193536,70.0,0.016157158278569998,0.10070773999999999
19,SDSSp J010752.33+004156.1 [de],51.0,0.01710757935378,0.10070773999999999
20,2MASSI J0117474-340325 [de],163.0,0.014889930178289996,0.16647606
21,2MASS J01415823-4633574 [de],130.0,0.010454631827309999,0.16544843
22,SDSS J015141.69+124429.6,70.0,0.01140505290252,0.09968010999999999
26,SDSS J020742.48+000056.2 [de],111.0,0.010243427143929998,0.09968010999999999
27,2MASS J02103857-3015313,101.0,0.010243427143929998,0.15722739
28,2MASS J02340093-6442068,155.0,0.012144269294349998,0.16647606
29,2MASS J02411151-0326587 [de],152.0,0.01752998872054,0.14489582999999998
30,2MASS J02431371−2453298,35.0,0.010032222460549998,0.10173536999999999
31,LP 771-21,53.0,0.013728304419699997,0.11098404
33,Teegarden's star,12.578,0.010982643535759999,0.13050900999999998
34,2MASS J02535980+3206373,184.0,0.015101134861669996,0.19524969999999997
35,WISE J0254+0223,24.0,0.01108824587745,0.19524969999999997
36,DEN 0255-4700,16.2,0.03991768515881999,0.09968010999999999
37,2MASS J03185403-3421292 [de],45.0,0.013411497394629997,0.09968010999999999
38,2MASS J03205965+1854233,47.0,0.013939509103079999,0.11817744999999999
39,2MASS J03231002-4631237,192.0,0.010032222460549998,0.17058658
40,SDSS J032553.17+042540.1,59.0,0.01151065524421,0.09762484999999999
41,2MASS J03264225-2102057 [de],80.0,0.013305895052939998,0.13359189999999999
42,2MASS J03284265+2302051 [de],98.0,0.020803661312929995,0.10070773999999999
43,2MASS J03341218-4953322,27.0,0.010243427143929998,0.10687352
44,LP 944-20,20.9,0.018797216820819997,0.14695108999999998
45,2MASP J0345432+254023,88.0,0.010560234168999998,0.10790115
46,Teide 1,380.0,0.010982643535759999,0.38844413999999994
47,2MASS J03510004-0052452,48.0,0.010560234168999998,0.13050900999999998
48,2MASS J03552337+1133437,29.8,0.014573123153219996,0.13564716
50,2MASS J04151954−0935066,18.6,0.010665836510689999,0.09762484999999999
52,2MASS J04285096-2253227 [de],85.0,0.014889930178289996,0.11201167000000001
53,2MASS J04351612-1606574,34.0,0.015945953595189997,0.12948137999999998
54,2MASS J04362788-4114465,142.0,0.010454631827309999,0.20244310999999998
55,2MASS J04390101-2353083 [de],29.5,0.010665836510689999,0.09968010999999999
57,2MASS J04433764+0002040,82.0,0.010877041194069998,0.18291813999999998
58,2MASS J04455387-3048204 [de],42.0,0.010349029485619998,0.102763
59,2MASS J04510093-3402150 [de],69.0,0.009926620118859997,0.10687352
60,2MASS J05002100+0330501 [de],44.0,0.009926620118859997,0.102763
61,2MASS J05012406-0010452 [de],64.0,0.009926620118859997,0.14181293999999997
62,2MASS J05160945-0445499 [de],73.0,0.010877041194069998,0.09968010999999999
63,2MASS J0523−1403,40.0,0.021226070679689995,0.10379063
65,SDSS J053951.99-005902.0,41.62,0.010349029485619998,0.10379063
67,LSR 0602+3910 [de],34.6,0.012144269294349998,0.14489582999999998
